month,state,permit,permit_recheck,handgun,long_gun,other,multiple,admin,prepawn_handgun,prepawn_long_gun,prepawn_other,redemption_handgun,redemption_long_gun,redemption_other,returned_handgun,returned_long_gun,returned_other,rentals_handgun,rentals_long_gun,private_sale_handgun,private_sale_long_gun,private_sale_other,return_to_seller_handgun,return_to_seller_long_gun,return_to_seller_other,totals
2013-08,Minnesota,14625,,7706,12119,306,300,0,0,4,0,183,495,0,,,,,,0,0,0,0,0,,35738
2013-08,Mississippi,616,,6169,7080,154,388,36,28,34,0,994,1320,2,,,,,,0,0,0,0,0,,16821
2013-08,Missouri,3392,,16625,14656,505,834,0,6,10,0,939,1385,0,,,,,,0,0,0,0,0,,38352
2013-08,Montana,1124,,3067,4888,108,257,11,1,9,0,376,841,1,,,,,,0,0,0,0,0,,10683
2013-08,Nebraska,3152,,92,2088,9,2,0,0,0,0,1,67,0,,,,,,0,0,0,0,0,,5411
2013-08,Nevada,1511,,3906,3176,195,254,0,0,1,0,316,181,0,,,,,,0,0,0,0,0,,9540
2013-08,New Hampshire,2554,,3823,3191,55,0,3,0,1,0,0,18,0,,,,,,0,0,0,0,0,,9645
2013-08,New Jersey,0,,6036,3631,198,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,,9865
2013-08,New Mexico,710,,4583,4243,217,250,0,2,7,0,405,521,1,,,,,,0,0,0,0,0,,10939
2013-08,New York,2164,,7552,12961,465,144,454,0,0,0,3,15,0,,,,,,64,40,0,2,3,,23867
2013-08,North Carolina,17404,,1125,13357,322,217,0,4,13,0,1583,2298,3,,,,,,0,0,0,0,0,,36326
2013-08,North Dakota,801,,1390,3155,37,72,0,2,0,0,48,136,0,,,,,,0,0,0,0,0,,5641
2013-08,Ohio,0,,21681,16535,723,1064,0,4,7,0,1065,873,2,,,,,,0,0,0,0,0,,41954
2013-08,Oklahoma,0,,11047,10731,469,803,0,3,1,0,1510,1714,3,,,,,,0,1,0,0,0,,26282
2013-08,Oregon,16,,9292,9196,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,,18504
2013-08,Pennsylvania,17850,,29,52638,170,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,,70687
2013-08,Puerto Rico,0,,1292,209,10,26,0,0,0,0,3,0,0,,,,,,0,0,0,0,0,,1540
2013-08,Rhode Island,0,,827,676,15,116,0,0,0,0,3,5,0,,,,,,0,0,0,0,0,,1642
2013-08,South Carolina,9712,,6962,6587,168,288,0,10,7,0,937,966,0,,,,,,0,0,0,0,0,,25637
2013-08,South Dakota,9,,1861,3638,50,118,0,0,1,0,105,216,0,,,,,,0,0,0,0,0,,5998
2013-08,Tennessee,7673,,16500,14236,0,724,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,,39133
2013-08,Texas,18131,,38576,45538,1583,2160,0,24,36,0,4654,4657,20,,,,,,0,0,0,0,1,,115380
2013-08,Utah,24473,,2392,3242,54,126,0,3,1,0,261,414,0,,,,,,0,0,0,0,0,,30966
2013-08,Vermont,0,,984,1244,30,47,0,0,1,0,0,0,0,,,,,,0,0,0,0,0,,2306
2013-08,Virgin Islands,79,,20,8,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,,107
2013-08,Virginia,0,,17394,14938,742,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,,33074
2013-08,Washington,8890,,13247,11664,847,516,5,2,3,1,1080,1130,3,,,,,,0,0,0,0,0,,37388
2013-08,West Virginia,332,,6037,6868,143,383,0,3,5,0,975,1760,0,,,,,,0,0,0,0,0,,16506
2013-08,Wisconsin,4605,,10107,11966,333,34,0,1,6,0,109,259,0,,,,,,0,0,0,0,0,,27420
2013-08,Wyoming,357,,1736,2241,44,106,1,2,3,0,143,243,0,,,,,,0,0,0,0,0,,4876
2013-07,Alabama,4632,,12058,12037,381,552,0,12,18,0,1883,1711,6,,,,,,,,,,,,33290
2013-07,Alaska,175,,2304,2659,134,154,0,5,13,0,216,229,0,,,,,,,,,,,,5889
2013-07,Arizona,8382,,8425,6293,430,410,0,8,1,0,1164,599,0,,,,,,,,,,,,25712
2013-07,Arkansas,11562,,4027,4183,63,241,0,6,11,0,926,1796,0,,,,,,,,,,,,22815
2013-07,California,38286,,29531,31564,75,0,4,0,0,0,385,267,2,,,,,,,,,,,,100114
2013-07,Colorado,20021,,11755,9266,514,649,0,0,0,0,0,2,0,,,,,,,,,,,,42207
2013-07,Connecticut,15391,,4649,2497,53,0,8,0,0,0,0,0,0,,,,,,,,,,,,22598
2013-07,Delaware,223,,1183,787,49,34,0,0,0,0,5,1,0,,,,,,,,,,,,2282
2013-07,District of Columbia,0,,30,1,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,32
2013-07,Florida,19829,,34204,18664,1334,1365,45,17,13,0,1717,931,2,,,,,,,,,,,,78121
2013-07,Georgia,11798,,8893,6506,231,382,0,17,26,0,1566,1589,3,,,,,,,,,,,,31011
2013-07,Guam,0,,59,44,10,0,0,0,0,0,0,0,0,,,,,,,,,,,,113
2013-07,Hawaii,1260,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,1260
2013-07,Idaho,2506,,1992,2898,75,122,0,4,3,0,316,541,3,,,,,,,,,,,,8460
2013-07,Illinois,55624,,15986,10383,0,706,0,0,0,0,0,0,0,,,,,,,,,,,,82699
2013-07,Indiana,27949,,12316,9385,481,455,0,0,6,0,0,489,0,,,,,,,,,,,,51081
2013-07,Iowa,4991,,82,1603,10,1,0,0,0,0,3,82,0,,,,,,,,,,,,6772
2013-07,Kansas,4288,,4830,4368,172,251,0,2,1,0,436,373,0,,,,,,,,,,,,14721
2013-07,Kentucky,12941,,6395,6133,184,444,0,5,10,0,1694,1911,2,,,,,,,,,,,,29719
2013-07,Louisiana,0,,9017,8014,386,439,0,11,2,0,892,1016,0,,,,,,,,,,,,19777
2013-07,Maine,0,,2244,2729,73,123,0,17,41,0,87,178,0,,,,,,,,,,,,5492
2013-07,Mariana Islands,0,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,0
2013-07,Maryland,43,,6533,5355,97,18,0,0,1,0,66,135,0,,,,,,,,,,,,12248
2013-07,Massachusetts,13753,,4283,2289,236,131,83,0,0,0,0,0,0,,,,,,,,,,,,20775
2013-07,Michigan,14353,,7378,7169,196,157,0,0,5,0,1,349,0,,,,,,,,,,,,29608
2013-07,Minnesota,15097,,7020,7351,258,220,0,2,3,0,221,528,0,,,,,,,,,,,,30700
2013-07,Mississippi,622,,5315,4149,102,244,0,44,33,1,999,1257,2,,,,,,,,,,,,12768
2013-07,Missouri,4690,,14710,10174,446,628,0,7,20,0,936,1313,2,,,,,,,,,,,,32926
2013-07,Montana,1269,,2393,3445,70,193,4,2,4,0,434,905,0,,,,,,,,,,,,8719
2013-07,Nebraska,2690,,80,1450,14,2,0,0,1,0,4,82,0,,,,,,,,,,,,4323
2013-07,Nevada,1755,,3617,2706,178,244,0,0,0,0,259,154,2,,,,,,,,,,,,8915
2013-07,New Hampshire,2721,,3289,2643,35,0,6,0,0,0,0,13,0,,,,,,,,,,,,8707
2013-07,New Jersey,0,,6528,3194,241,0,0,0,0,0,0,0,0,,,,,,,,,,,,9963
2013-07,New Mexico,967,,4245,3514,197,300,0,3,7,0,412,490,0,,,,,,,,,,,,10135
2013-07,New York,1896,,7572,9719,403,103,364,0,0,0,2,6,0,,,,,,,,,,,,20065
2013-07,North Carolina,19239,,561,9607,293,183,0,9,14,0,1587,2299,6,,,,,,,,,,,,33798
2013-07,North Dakota,1390,,1197,2267,32,58,0,1,1,0,63,134,0,,,,,,,,,,,,5143
2013-07,Ohio,0,,21099,14667,772,877,0,2,0,0,1131,885,7,,,,,,,,,,,,39440
2013-07,Oklahoma,0,,10138,7996,473,715,0,5,4,0,1591,1698,2,,,,,,,,,,,,22622
2013-07,Oregon,19,,8386,7441,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,15846
2013-07,Pennsylvania,17521,,19,43118,217,0,0,0,1,0,0,0,0,,,,,,,,,,,,60876
2013-07,Puerto Rico,0,,1106,216,10,19,0,0,0,0,0,0,0,,,,,,,,,,,,1351
2013-07,Rhode Island,0,,760,638,28,129,0,0,0,0,4,2,0,,,,,,,,,,,,1561
2013-07,South Carolina,10917,,6074,4428,182,211,0,7,10,0,921,820,2,,,,,,,,,,,,23572
2013-07,South Dakota,0,,1675,2555,64,101,0,0,2,0,104,218,0,,,,,,,,,,,,4719
2013-07,Tennessee,7609,,15367,10932,0,623,0,0,0,0,0,0,0,,,,,,,,,,,,34531
2013-07,Texas,21851,,35456,29941,1487,1824,0,48,34,2,5423,4738,15,,,,,,,,,,,,100819
2013-07,Utah,23493,,2157,2626,56,116,0,2,0,1,228,284,0,,,,,,,,,,,,28963
2013-07,Vermont,0,,862,967,44,42,0,0,0,0,0,0,0,,,,,,,,,,,,1915
2013-07,Virgin Islands,48,,24,4,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,77
2013-07,Virginia,0,,15759,12570,631,0,0,0,0,0,0,0,0,,,,,,,,,,,,28960
2013-07,Washington,8847,,11752,9015,641,429,3,4,3,1,1212,1208,0,,,,,,,,,,,,33115
2013-07,West Virginia,214,,5348,5169,132,346,1,1,3,0,961,1663,1,,,,,,,,,,,,13839
2013-07,Wisconsin,4869,,8799,7823,239,18,0,0,3,0,87,269,1,,,,,,,,,,,,22108
2013-07,Wyoming,581,,1534,1694,39,78,1,0,4,0,156,211,1,,,,,,,,,,,,4299
2013-06,Alabama,1861,,11054,10828,349,549,0,9,15,0,1844,1474,7,,,,,0,,,,,,,27990
2013-06,Alaska,250,,2470,2593,154,166,0,8,10,0,222,204,0,,,,,0,,,,,,,6077
2013-06,Arizona,8379,,8716,6413,386,370,0,5,4,0,1144,577,0,,,,,0,,,,,,,25994
2013-06,Arkansas,6563,,3966,3974,89,261,0,5,7,1,835,1575,4,,,,,0,,,,,,,17280
2013-06,California,43693,,29702,35007,78,0,0,0,0,0,389,281,3,,,,,0,,,,,,,109153
2013-06,Colorado,9377,,16137,13206,658,1102,0,1,1,0,4,2,0,,,,,0,,,,,,,40488
2013-06,Connecticut,14252,,4545,3693,80,0,27,0,0,0,0,0,0,,,,,0,,,,,,,22597
2013-06,Delaware,291,,1175,862,53,58,0,0,1,0,3,4,0,,,,,0,,,,,,,2447
2013-06,District of Columbia,0,,25,1,0,0,0,0,0,0,0,0,0,,,,,0,,,,,,,26
2013-06,Florida,17871,,33559,19343,1393,1377,91,9,11,0,1636,847,5,,,,,0,,,,,,,76142
2013-06,Georgia,9392,,8591,6541,193,365,0,10,16,0,1597,1543,0,,,,,0,,,,,,,28248
2013-06,Guam,0,,44,44,3,4,0,0,0,0,0,0,0,,,,,0,,,,,,,95
2013-06,Hawaii,1145,,0,0,0,0,1,0,0,0,0,0,0,,,,,0,,,,,,,1146
2013-06,Idaho,2293,,2109,3188,81,123,0,6,7,0,322,588,0,,,,,0,,,,,,,8717
2013-06,Illinois,79126,,15062,10196,0,628,0,0,0,0,0,0,0,,,,,0,,,,,,,105012
2013-06,Indiana,15786,,12447,9845,628,469,0,0,4,0,0,457,0,,,,,0,,,,,,,39636
2013-06,Iowa,6450,,74,1713,11,3,0,1,0,0,1,83,0,,,,,0,,,,,,,8336
2013-06,Kansas,3273,,4370,4246,162,255,0,2,7,0,399,369,1,,,,,0,,,,,,,13084
2013-06,Kentucky,12923,,6556,5943,129,400,0,6,9,0,1555,1672,2,,,,,0,,,,,,,29195
2013-06,Louisiana,0,,8734,7613,362,404,0,4,5,0,894,936,1,,,,,0,,,,,,,18953
2013-06,Maine,0,,2427,2712,80,127,0,15,32,0,80,147,0,,,,,0,,,,,,,5620
2013-06,Mariana Islands,0,,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,,,,,,0
2013-06,Maryland,0,,6849,5318,290,50,0,0,6,0,51,137,0,,,,,1,,,,,,,12702
2013-06,Massachusetts,11387,,4109,2557,280,148,0,0,0,0,0,0,0,,,,,0,,,,,,,18481
2013-06,Michigan,13822,,7492,7573,237,116,0,0,3,0,1,277,0,,,,,0,,,,,,,29521
2013-06,Minnesota,13630,,7399,7387,260,240,0,2,3,0,166,472,0,,,,,0,,,,,,,29559
2013-06,Mississippi,532,,4744,3848,111,235,0,36,32,0,972,1094,1,,,,,0,,,,,,,11605
2013-06,Missouri,4416,,14577,10444,465,613,0,9,7,0,926,1215,5,,,,,0,,,,,,,32677
2013-06,Montana,1016,,2433,3569,75,189,3,5,6,0,430,845,0,,,,,0,,,,,,,8571
2013-06,Nebraska,2779,,91,1533,19,4,0,0,1,0,0,76,0,,,,,0,,,,,,,4503
2013-06,Nevada,1938,,4043,3125,196,274,0,0,0,0,235,150,1,,,,,0,,,,,,,9962
2013-06,New Hampshire,2676,,3514,2738,33,2,1,0,0,0,0,11,0,,,,,0,,,,,,,8975
2013-06,New Jersey,0,,7691,3995,418,0,0,0,0,0,0,0,0,,,,,0,,,,,,,12104
2013-06,New Mexico,861,,4207,3633,195,221,0,0,6,0,341,483,1,,,,,0,,,,,,,9948
2013-06,New York,2451,,7250,10414,453,112,312,0,0,0,1,10,0,,,,,0,,,,,,,21003
2013-06,North Carolina,18140,,594,9733,312,176,0,13,17,0,1655,2289,5,,,,,0,,,,,,,32934
2013-06,North Dakota,1029,,1249,2483,31,46,0,0,0,0,57,121,0,,,,,0,,,,,,,5016
2013-06,Ohio,0,,20896,14770,716,903,0,2,1,0,1046,813,3,,,,,0,,,,,,,39150
2013-06,Oklahoma,0,,9454,7955,445,645,0,8,2,0,1484,1665,3,,,,,0,,,,,,,21661
2013-06,Oregon,34,,9161,8079,0,0,0,0,0,0,0,0,0,,,,,0,,,,,,,17274
2013-06,Pennsylvania,16187,,20,45518,266,0,1,0,0,0,0,0,0,,,,,0,,,,,,,61992
2013-06,Puerto Rico,0,,1320,251,9,26,0,0,0,0,0,0,0,,,,,0,,,,,,,1606
2013-06,Rhode Island,0,,868,657,44,125,0,2,1,0,0,0,0,,,,,0,,,,,,,1697
2013-06,South Carolina,8982,,6228,4220,149,196,0,6,6,0,936,737,3,,,,,0,,,,,,,21463
2013-06,South Dakota,2,,1761,2593,60,104,0,0,1,0,117,182,0,,,,,0,,,,,,,4820
2013-06,Tennessee,10615,,14513,10657,0,639,0,0,0,0,0,0,0,,,,,0,,,,,,,36424
2013-06,Texas,19686,,34302,30708,1566,1833,0,41,36,4,4985,4249,10,,,,,0,,,,,,,97420
2013-06,Utah,21599,,2372,2814,67,91,0,0,0,0,219,291,0,,,,,0,,,,,,,27453
2013-06,Vermont,0,,931,975,30,21,0,0,0,0,0,0,0,,,,,0,,,,,,,1957
2013-06,Virgin Islands,59,,33,2,0,0,0,0,0,0,0,0,0,,,,,0,,,,,,,94
2013-06,Virginia,0,,16205,12574,597,0,0,0,0,0,0,0,0,,,,,0,,,,,,,29376
2013-06,Washington,9316,,12717,10015,817,449,7,2,2,0,1148,1093,1,,,,,0,,,,,,,35567
2013-06,West Virginia,294,,5304,5374,135,305,0,1,1,0,861,1521,0,,,,,0,,,,,,,13796
2013-06,Wisconsin,3535,,8632,7553,336,19,0,0,1,1,76,263,0,,,,,0,,,,,,,20416
2013-06,Wyoming,881,,1641,1840,54,83,1,1,2,0,160,191,0,,,,,0,,,,,,,4854
2013-05,Alabama,2017,,13221,12165,372,559,0,6,15,0,1969,1678,3,,,,,,,,,,,,32005
2013-05,Alaska,271,,2856,3569,191,202,0,1,10,0,228,201,0,,,,,,,,,,,,7529
2013-05,Arizona,7588,,9533,7320,503,394,0,4,3,0,1193,605,2,,,,,,,,,,,,27145
2013-05,Arkansas,5704,,4865,4917,92,282,0,3,7,0,956,1682,1,,,,,,,,,,,,18509
2013-05,California,42804,,31638,37157,71,0,0,0,0,0,482,309,3,,,,,,,,,,,,112464
2013-05,Colorado,8990,,15666,12799,654,1057,8,1,1,0,3,2,0,,,,,,,,,,,,39181
2013-05,Connecticut,14264,,4879,3459,85,0,19,0,0,0,0,0,0,,,,,,,,,,,,22706
2013-05,Delaware,360,,1476,1017,71,56,0,0,0,0,6,6,0,,,,,,,,,,,,2992
2013-05,District of Columbia,0,,35,5,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,40
2013-05,Florida,27298,,35935,21373,1491,1488,7,13,12,0,1586,873,1,,,,,,,,,,,,90077
2013-05,Georgia,12425,,9563,7116,237,379,0,11,16,0,1651,1584,2,,,,,,,,,,,,32984
2013-05,Guam,0,,58,64,9,3,0,0,0,0,0,0,0,,,,,,,,,,,,134
2013-05,Hawaii,1322,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,1322
2013-05,Idaho,3139,,2470,3417,107,116,0,0,4,0,291,588,1,,,,,,,,,,,,10133
2013-05,Illinois,80948,,16142,11591,0,657,0,0,0,0,0,0,0,,,,,,,,,,,,109338
2013-05,Indiana,14073,,13497,10404,682,468,0,0,1,0,1,434,0,,,,,,,,,,,,39560
2013-05,Iowa,7502,,78,2016,15,4,0,0,0,0,0,93,0,,,,,,,,,,,,9708
2013-05,Kansas,7194,,5419,5179,201,288,1,2,1,0,436,377,1,,,,,,,,,,,,19099
2013-05,Kentucky,5897,,7976,6876,161,511,2,8,11,0,1791,2037,1,,,,,,,,,,,,25271
2013-05,Louisiana,0,,10087,8985,401,502,0,5,7,1,922,1010,0,,,,,,,,,,,,21920
2013-05,Maine,0,,2820,3092,85,127,0,9,38,0,84,187,0,,,,,,,,,,,,6442
2013-05,Mariana Islands,0,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,0
2013-05,Maryland,1,,8507,5470,146,29,0,1,2,0,68,115,1,,,,,,,,,,,,14340
2013-05,Massachusetts,12158,,4776,2714,429,143,6,0,0,0,0,0,0,,,,,,,,,,,,20226
2013-05,Michigan,15804,,9056,8443,283,137,0,0,2,0,5,320,0,,,,,,,,,,,,34050
2013-05,Minnesota,20650,,9637,8787,343,295,0,0,4,0,191,516,1,,,,,,,,,,,,40424
2013-05,Mississippi,706,,5369,4787,129,258,0,30,30,0,934,1174,1,,,,,,,,,,,,13418
2013-05,Missouri,5972,,16990,12515,625,698,0,10,19,0,913,1257,3,,,,,,,,,,,,39002
2013-05,Montana,1455,,2690,4067,111,200,11,2,4,0,454,878,1,,,,,,,,,,,,9873
2013-05,Nebraska,3995,,83,1638,11,0,0,0,1,0,0,78,0,,,,,,,,,,,,5806
2013-05,Nevada,2302,,4426,3571,247,315,0,0,1,0,277,158,0,,,,,,,,,,,,11297
2013-05,New Hampshire,4590,,4051,3086,37,0,0,0,0,0,0,16,0,,,,,,,,,,,,11780
2013-05,New Jersey,0,,7726,4486,444,0,0,0,0,0,0,0,0,,,,,,,,,,,,12656
2013-05,New Mexico,1588,,4686,4267,196,235,0,5,5,0,413,541,0,,,,,,,,,,,,11936
2013-05,New York,2518,,7992,11417,550,123,558,0,0,0,0,9,0,,,,,,,,,,,,23167
2013-05,North Carolina,22157,,652,11406,380,149,0,6,14,0,1692,2235,4,,,,,,,,,,,,38695
2013-05,North Dakota,1458,,1652,2856,55,59,0,0,0,0,67,137,0,,,,,,,,,,,,6284
2013-05,Ohio,0,,23364,15596,849,1034,0,2,3,0,1046,854,3,,,,,,,,,,,,42751
2013-05,Oklahoma,0,,10401,9045,506,750,0,3,1,0,1683,1874,6,,,,,,,,,,,,24269
2013-05,Oregon,23,,10027,8727,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,18777
2013-05,Pennsylvania,20864,,20,49732,265,0,1,0,0,0,0,0,0,,,,,,,,,,,,70882
2013-05,Puerto Rico,0,,1297,217,10,31,0,0,0,0,0,0,0,,,,,,,,,,,,1555
2013-05,Rhode Island,0,,1036,819,52,200,0,0,0,0,1,1,0,,,,,,,,,,,,2109
2013-05,South Carolina,9441,,7277,4673,218,256,0,8,10,0,975,854,1,,,,,,,,,,,,23713
2013-05,South Dakota,0,,2180,3075,53,122,0,1,0,0,92,249,0,,,,,,,,,,,,5772
2013-05,Tennessee,12435,,16850,12546,0,690,0,0,0,0,0,0,0,,,,,,,,,,,,42521
2013-05,Texas,21953,,41105,34669,1948,2099,0,43,24,1,5254,4558,14,,,,,,,,,,,,111668
2013-05,Utah,27875,,2749,3255,96,110,0,2,0,0,232,296,0,,,,,,,,,,,,34615
2013-05,Vermont,0,,1030,1112,46,40,0,0,0,0,0,0,0,,,,,,,,,,,,2228
2013-05,Virgin Islands,60,,12,2,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,75
2013-05,Virginia,0,,17007,13414,687,0,0,0,0,0,0,0,0,,,,,,,,,,,,31108
2013-05,Washington,11878,,14262,10595,797,467,2,5,4,0,1219,1199,2,,,,,,,,,,,,40430
2013-05,West Virginia,510,,6371,5792,194,381,1,6,14,0,934,1705,0,,,,,,,,,,,,15908
2013-05,Wisconsin,7046,,11961,9200,385,33,0,0,1,0,99,250,0,,,,,,,,,,,,28975
2013-05,Wyoming,758,,2066,2174,85,109,3,4,2,0,157,223,0,,,,,,,,,,,,5581
2013-04,Alabama,672,,14930,13043,468,695,2,6,14,0,1743,1636,5,,,,1,,,,,,,,33215
2013-04,Alaska,328,,3324,4162,340,209,0,4,7,0,170,213,1,,,,0,,,,,,,,8758
2013-04,Arizona,8830,,11774,8650,748,526,0,5,2,0,1202,705,2,,,,0,,,,,,,,32444
2013-04,Arkansas,7066,,5983,6145,108,299,0,4,8,0,811,1634,4,,,,0,,,,,,,,22062
2013-04,California,32066,,34701,42516,72,0,0,0,0,0,433,358,3,,,,0,,,,,,,,110149
2013-04,Colorado,6788,,18548,16004,1047,1285,0,0,0,0,2,1,0,,,,0,,,,,,,,43675
2013-04,Connecticut,15251,,6631,6531,1276,0,14,0,0,0,0,0,0,,,,0,,,,,,,,29703
2013-04,Delaware,314,,1871,1323,83,72,0,0,0,0,2,0,0,,,,0,,,,,,,,3665
2013-04,District of Columbia,0,,41,6,0,1,0,0,0,0,0,0,0,,,,0,,,,,,,,48
2013-04,Florida,29479,,41943,25404,2086,1649,12,18,10,0,1356,796,4,,,,0,,,,,,,,102757
2013-04,Georgia,15918,,11406,8593,288,482,0,12,18,0,1497,1651,0,,,,0,,,,,,,,39865
2013-04,Guam,0,,35,42,12,0,0,0,0,0,0,0,0,,,,0,,,,,,,,89
